datetime,latitude,longitude,depth,latitude_err,longitude_err,depth_err,type,deep_nest,comments,day,month
1969-12-26 19:14:00.000,-6.0,-19.7,1037.0,2.4,3.6,68.0,Deep Moonquake,9,,1969-12-26,1969-12
1969-12-26 22:27:00.000,,,,,,,Meteoroid Impact,,,1969-12-26,1969-12
1969-12-27 09:04:00.000,-35.7,-40.3,988.0,4.9,6.7,21.0,Deep Moonquake,10,,1969-12-27,1969-12
1969-12-27 13:40:00.000,-23.7,-35.5,1086.0,4.8,6.5,37.0,Deep Moonquake,8,,1969-12-27,1969-12
1969-12-27 21:32:00.000,,,,,,,Meteoroid Impact,,,1969-12-27,1969-12
1969-12-28 02:41:00.000,,,,,,,Deep Moonquake,2,,1969-12-28,1969-12
1969-12-28 07:05:00.000,,,,,,,,,T?,1969-12-28,1969-12
1969-12-28 07:45:00.000,,,,,,,Deep Moonquake,208,T?,1969-12-28,1969-12
1969-12-28 08:50:00.000,7.8,43.3,1031.0,1.3,7.0,37.0,Deep Moonquake,38,T?,1969-12-28,1969-12
1969-12-28 11:27:00.000,,,,,,,Deep Moonquake,12,,1969-12-28,1969-12
1969-12-29 02:42:00.000,-15.7,-36.6,867.0,2.4,4.6,29.0,Deep Moonquake,1,,1969-12-29,1969-12
1969-12-29 22:35:00.000,-19.1,-41.7,973.0,3.0,5.6,23.0,Deep Moonquake,13,,1969-12-29,1969-12
1970-01-01 01:40:00.000,,,,,,,Deep Moonquake,206,,1970-01-01,1970-01
1970-01-02 02:20:00.000,,,,,,,Meteoroid Impact,,,1970-01-02,1970-01
1970-01-02 21:18:00.000,43.5,55.5,844.0,2.9,9.5,33.0,Deep Moonquake,6,,1970-01-02,1970-01
1970-01-03 09:08:00.000,,,,,,,Deep Moonquake,303,,1970-01-03,1970-01
1970-01-03 11:25:00.000,,,,,,,,,,1970-01-03,1970-01
1970-01-03 12:42:00.000,43.5,55.5,844.0,2.9,9.5,33.0,Deep Moonquake,6,,1970-01-03,1970-01
1970-01-03 16:24:00.000,,,,,,,Meteoroid Impact,,,1970-01-03,1970-01
1970-01-04 11:20:00.000,,,,,,,,,,1970-01-04,1970-01
1970-01-04 11:54:00.000,,,,,,,Deep Moonquake,217,,1970-01-04,1970-01
1970-01-04 16:03:00.000,,,,,,,Deep Moonquake,4,,1970-01-04,1970-01
1970-01-04 21:05:00.000,-50.7,-21.4,933.0,7.9,5.5,109.0,Deep Moonquake,224,(*) The source depth is assumed to be 933km,1970-01-04,1970-01
1970-01-06 03:53:00.000,,,,,,,,,,1970-01-06,1970-01
1970-01-06 13:28:00.000,-15.7,-36.6,867.0,2.4,4.6,29.0,Deep Moonquake,1,,1970-01-06,1970-01
1970-01-06 21:58:00.000,,,,,,,Deep Moonquake,305,,1970-01-06,1970-01
1970-01-07 02:04:00.000,-40.9,-40.6,933.0,7.5,8.4,109.0,Deep Moonquake,86,(*) The source depth is assumed to be 933km,1970-01-07,1970-01
1970-01-07 09:10:00.000,,,,,,,,,T?,1970-01-07,1970-01
1970-01-07 11:08:00.000,,,,,,,,,,1970-01-07,1970-01
1970-01-08 00:49:00.000,-15.7,-36.6,867.0,2.4,4.6,29.0,Deep Moonquake,1,,1970-01-08,1970-01
1970-01-08 04:40:00.000,25.0,53.2,893.0,1.7,8.0,27.0,Deep Moonquake,7,,1970-01-08,1970-01
1970-01-08 12:49:00.000,21.6,43.6,788.0,1.8,5.9,29.0,Deep Moonquake,22,,1970-01-08,1970-01
1970-01-08 16:40:00.000,17.4,-39.1,702.0,1.5,3.4,10.0,Deep Moonquake,5,"The source position is decided by (Khan and Mosegaard, 2002)",1970-01-08,1970-01
1970-01-09 01:08:00.000,1.0,2.8,919.0,1.7,1.5,170.0,Deep Moonquake,202,,1970-01-09,1970-01
1970-01-09 02:03:00.000,-15.7,-36.6,867.0,2.4,4.6,29.0,Deep Moonquake,1,,1970-01-09,1970-01
1970-01-09 06:49:00.000,-2.9,-50.3,946.0,1.7,6.3,22.0,Deep Moonquake,3,,1970-01-09,1970-01
1970-01-09 07:32:00.000,43.5,55.5,844.0,2.9,9.5,33.0,Deep Moonquake,6,,1970-01-09,1970-01
1970-01-10 04:09:00.000,17.4,-39.1,702.0,1.5,3.4,10.0,Deep Moonquake,5,"The source position is decided by (Khan and Mosegaard, 2002)",1970-01-10,1970-01
1970-01-10 06:54:00.000,-2.4,-73.3,878.0,4.4,32.3,107.0,Deep Moonquake,218,,1970-01-10,1970-01
1970-01-10 23:06:00.000,-15.7,-36.6,867.0,2.4,4.6,29.0,Deep Moonquake,1,,1970-01-10,1970-01
